content_url,term,engagement rate,content_type,content_id,media_url
https://giphy.com/stickers/yqA4yr37Kl9nde0bu0,difficult,0.00,STICKER,yqA4yr37Kl9nde0bu0,https://media.giphy.com/media/yqA4yr37Kl9nde0bu0/giphy.gif
https://giphy.com/gifs/dTMSyqARn2U5z05YQA,im angry,2.43,GIF,dTMSyqARn2U5z05YQA,https://media.giphy.com/media/dTMSyqARn2U5z05YQA/giphy.gif
https://giphy.com/gifs/dTMSyqARn2U5z05YQA,수어,1.68,GIF,dTMSyqARn2U5z05YQA,https://media.giphy.com/media/dTMSyqARn2U5z05YQA/giphy.gif
https://giphy.com/gifs/dTMSyqARn2U5z05YQA,eq4all,1.33,GIF,dTMSyqARn2U5z05YQA,https://media.giphy.com/media/dTMSyqARn2U5z05YQA/giphy.gif
https://giphy.com/gifs/dTMSyqARn2U5z05YQA,im mad,0.66,GIF,dTMSyqARn2U5z05YQA,https://media.giphy.com/media/dTMSyqARn2U5z05YQA/giphy.gif
https://giphy.com/gifs/dTMSyqARn2U5z05YQA,수어티콘,0.33,GIF,dTMSyqARn2U5z05YQA,https://media.giphy.com/media/dTMSyqARn2U5z05YQA/giphy.gif
https://giphy.com/stickers/pLaU93R6Kk43r1KZSK,deaf,0.00,STICKER,pLaU93R6Kk43r1KZSK,https://media.giphy.com/media/pLaU93R6Kk43r1KZSK/giphy.gif
https://giphy.com/gifs/BM4xWkuKDafzmbONVD,수어,1.34,GIF,BM4xWkuKDafzmbONVD,https://media.giphy.com/media/BM4xWkuKDafzmbONVD/giphy.gif
https://giphy.com/gifs/BM4xWkuKDafzmbONVD,수어티콘,0.81,GIF,BM4xWkuKDafzmbONVD,https://media.giphy.com/media/BM4xWkuKDafzmbONVD/giphy.gif
https://giphy.com/gifs/BM4xWkuKDafzmbONVD,리액션,0.21,GIF,BM4xWkuKDafzmbONVD,https://media.giphy.com/media/BM4xWkuKDafzmbONVD/giphy.gif
https://giphy.com/gifs/ZdSUw0ijIdFI1ir6va,asia,5.06,GIF,ZdSUw0ijIdFI1ir6va,https://media.giphy.com/media/ZdSUw0ijIdFI1ir6va/giphy.gif
https://giphy.com/gifs/ZdSUw0ijIdFI1ir6va,수어,1.80,GIF,ZdSUw0ijIdFI1ir6va,https://media.giphy.com/media/ZdSUw0ijIdFI1ir6va/giphy.gif
https://giphy.com/gifs/ZdSUw0ijIdFI1ir6va,seoul,1.15,GIF,ZdSUw0ijIdFI1ir6va,https://media.giphy.com/media/ZdSUw0ijIdFI1ir6va/giphy.gif
https://giphy.com/gifs/ZdSUw0ijIdFI1ir6va,한복,1.07,GIF,ZdSUw0ijIdFI1ir6va,https://media.giphy.com/media/ZdSUw0ijIdFI1ir6va/giphy.gif
https://giphy.com/gifs/ZdSUw0ijIdFI1ir6va,수어티콘,0.79,GIF,ZdSUw0ijIdFI1ir6va,https://media.giphy.com/media/ZdSUw0ijIdFI1ir6va/giphy.gif
https://giphy.com/gifs/ZdSUw0ijIdFI1ir6va,kr,0.06,GIF,ZdSUw0ijIdFI1ir6va,https://media.giphy.com/media/ZdSUw0ijIdFI1ir6va/giphy.gif
https://giphy.com/gifs/2hT94WS12hu0fDHeNp,수어티콘,4.00,GIF,2hT94WS12hu0fDHeNp,https://media.giphy.com/media/2hT94WS12hu0fDHeNp/giphy.gif
https://giphy.com/gifs/2hT94WS12hu0fDHeNp,eq4all,1.69,GIF,2hT94WS12hu0fDHeNp,https://media.giphy.com/media/2hT94WS12hu0fDHeNp/giphy.gif
https://giphy.com/gifs/2hT94WS12hu0fDHeNp,수어,1.32,GIF,2hT94WS12hu0fDHeNp,https://media.giphy.com/media/2hT94WS12hu0fDHeNp/giphy.gif
https://giphy.com/gifs/2hT94WS12hu0fDHeNp,리액션,1.09,GIF,2hT94WS12hu0fDHeNp,https://media.giphy.com/media/2hT94WS12hu0fDHeNp/giphy.gif
https://giphy.com/gifs/2hT94WS12hu0fDHeNp,무야호,0.82,GIF,2hT94WS12hu0fDHeNp,https://media.giphy.com/media/2hT94WS12hu0fDHeNp/giphy.gif
https://giphy.com/gifs/2hT94WS12hu0fDHeNp,ksl,0.00,GIF,2hT94WS12hu0fDHeNp,https://media.giphy.com/media/2hT94WS12hu0fDHeNp/giphy.gif
https://giphy.com/stickers/UY5dBoFXJLxbwxG5xL,수어,0.00,STICKER,UY5dBoFXJLxbwxG5xL,https://media.giphy.com/media/UY5dBoFXJLxbwxG5xL/giphy.gif
https://giphy.com/gifs/w1LsCMaLgi55FPeXqp,수어,1.90,GIF,w1LsCMaLgi55FPeXqp,https://media.giphy.com/media/w1LsCMaLgi55FPeXqp/giphy.gif
https://giphy.com/gifs/w1LsCMaLgi55FPeXqp,want to go home,0.65,GIF,w1LsCMaLgi55FPeXqp,https://media.giphy.com/media/w1LsCMaLgi55FPeXqp/giphy.gif
https://giphy.com/gifs/w1LsCMaLgi55FPeXqp,sweet home,0.61,GIF,w1LsCMaLgi55FPeXqp,https://media.giphy.com/media/w1LsCMaLgi55FPeXqp/giphy.gif
https://giphy.com/gifs/w1LsCMaLgi55FPeXqp,skl,0.54,GIF,w1LsCMaLgi55FPeXqp,https://media.giphy.com/media/w1LsCMaLgi55FPeXqp/giphy.gif
https://giphy.com/gifs/w1LsCMaLgi55FPeXqp,수어티콘,0.00,GIF,w1LsCMaLgi55FPeXqp,https://media.giphy.com/media/w1LsCMaLgi55FPeXqp/giphy.gif
https://giphy.com/stickers/sQUc4XdBwY5w5ALSiq,cheer up,0.00,STICKER,sQUc4XdBwY5w5ALSiq,https://media.giphy.com/media/sQUc4XdBwY5w5ALSiq/giphy.gif
https://giphy.com/gifs/gSjklqUv4iodGkb9hT,수어티콘,2.12,GIF,gSjklqUv4iodGkb9hT,https://media.giphy.com/media/gSjklqUv4iodGkb9hT/giphy.gif
https://giphy.com/gifs/gSjklqUv4iodGkb9hT,수어,1.90,GIF,gSjklqUv4iodGkb9hT,https://media.giphy.com/media/gSjklqUv4iodGkb9hT/giphy.gif
https://giphy.com/gifs/gSjklqUv4iodGkb9hT,구독,1.15,GIF,gSjklqUv4iodGkb9hT,https://media.giphy.com/media/gSjklqUv4iodGkb9hT/giphy.gif
https://giphy.com/gifs/gSjklqUv4iodGkb9hT,subscription,0.77,GIF,gSjklqUv4iodGkb9hT,https://media.giphy.com/media/gSjklqUv4iodGkb9hT/giphy.gif
https://giphy.com/gifs/gSjklqUv4iodGkb9hT,ig,0.16,GIF,gSjklqUv4iodGkb9hT,https://media.giphy.com/media/gSjklqUv4iodGkb9hT/giphy.gif
https://giphy.com/gifs/gSjklqUv4iodGkb9hT,eq4all,0.00,GIF,gSjklqUv4iodGkb9hT,https://media.giphy.com/media/gSjklqUv4iodGkb9hT/giphy.gif
https://giphy.com/gifs/gSjklqUv4iodGkb9hT,이큐포올,0.00,GIF,gSjklqUv4iodGkb9hT,https://media.giphy.com/media/gSjklqUv4iodGkb9hT/giphy.gif
https://giphy.com/stickers/DQmbcuUT09eesFh195,sign language,0.00,STICKER,DQmbcuUT09eesFh195,https://media.giphy.com/media/DQmbcuUT09eesFh195/giphy.gif
https://giphy.com/stickers/Rv5FOgQSRjSrp4ESaN,asl,1.04,STICKER,Rv5FOgQSRjSrp4ESaN,https://media.giphy.com/media/Rv5FOgQSRjSrp4ESaN/giphy.gif
https://giphy.com/stickers/Rv5FOgQSRjSrp4ESaN,meeting,0.60,STICKER,Rv5FOgQSRjSrp4ESaN,https://media.giphy.com/media/Rv5FOgQSRjSrp4ESaN/giphy.gif
https://giphy.com/stickers/Rv5FOgQSRjSrp4ESaN,meet,0.14,STICKER,Rv5FOgQSRjSrp4ESaN,https://media.giphy.com/media/Rv5FOgQSRjSrp4ESaN/giphy.gif
https://giphy.com/stickers/Rv5FOgQSRjSrp4ESaN,deaf,0.00,STICKER,Rv5FOgQSRjSrp4ESaN,https://media.giphy.com/media/Rv5FOgQSRjSrp4ESaN/giphy.gif
https://giphy.com/stickers/UjqUXTlIokVVq0oO3g,deaf,1.37,STICKER,UjqUXTlIokVVq0oO3g,https://media.giphy.com/media/UjqUXTlIokVVq0oO3g/giphy.gif
https://giphy.com/stickers/UjqUXTlIokVVq0oO3g,asl,0.00,STICKER,UjqUXTlIokVVq0oO3g,https://media.giphy.com/media/UjqUXTlIokVVq0oO3g/giphy.gif
https://giphy.com/gifs/sZkpfOreRycklLRFrD,수어,0.93,GIF,sZkpfOreRycklLRFrD,https://media.giphy.com/media/sZkpfOreRycklLRFrD/giphy.gif
https://giphy.com/gifs/sZkpfOreRycklLRFrD,수어티콘,0.00,GIF,sZkpfOreRycklLRFrD,https://media.giphy.com/media/sZkpfOreRycklLRFrD/giphy.gif
https://giphy.com/gifs/sZkpfOreRycklLRFrD,0420,0.00,GIF,sZkpfOreRycklLRFrD,https://media.giphy.com/media/sZkpfOreRycklLRFrD/giphy.gif
https://giphy.com/gifs/88TNz2Ey9JnmY8CyV9,수어,1.96,GIF,88TNz2Ey9JnmY8CyV9,https://media.giphy.com/media/88TNz2Ey9JnmY8CyV9/giphy.gif
https://giphy.com/gifs/88TNz2Ey9JnmY8CyV9,ksl,0.38,GIF,88TNz2Ey9JnmY8CyV9,https://media.giphy.com/media/88TNz2Ey9JnmY8CyV9/giphy.gif
https://giphy.com/gifs/88TNz2Ey9JnmY8CyV9,stuffed,0.00,GIF,88TNz2Ey9JnmY8CyV9,https://media.giphy.com/media/88TNz2Ey9JnmY8CyV9/giphy.gif
https://giphy.com/gifs/88TNz2Ey9JnmY8CyV9,수어티콘,0.00,GIF,88TNz2Ey9JnmY8CyV9,https://media.giphy.com/media/88TNz2Ey9JnmY8CyV9/giphy.gif
https://giphy.com/gifs/88TNz2Ey9JnmY8CyV9,deaf,0.00,GIF,88TNz2Ey9JnmY8CyV9,https://media.giphy.com/media/88TNz2Ey9JnmY8CyV9/giphy.gif
https://giphy.com/gifs/7ABSPn584apzerwIum,eq4all,4.82,GIF,7ABSPn584apzerwIum,https://media.giphy.com/media/7ABSPn584apzerwIum/giphy.gif
https://giphy.com/gifs/7ABSPn584apzerwIum,수어,3.80,GIF,7ABSPn584apzerwIum,https://media.giphy.com/media/7ABSPn584apzerwIum/giphy.gif
https://giphy.com/gifs/7ABSPn584apzerwIum,수어티콘,1.33,GIF,7ABSPn584apzerwIum,https://media.giphy.com/media/7ABSPn584apzerwIum/giphy.gif
https://giphy.com/gifs/7ABSPn584apzerwIum,리액션,0.44,GIF,7ABSPn584apzerwIum,https://media.giphy.com/media/7ABSPn584apzerwIum/giphy.gif
https://giphy.com/stickers/GigY7bbl5gqn8aMaF0,congratulate,0.37,STICKER,GigY7bbl5gqn8aMaF0,https://media.giphy.com/media/GigY7bbl5gqn8aMaF0/giphy.gif
https://giphy.com/stickers/GigY7bbl5gqn8aMaF0,congratulation,0.21,STICKER,GigY7bbl5gqn8aMaF0,https://media.giphy.com/media/GigY7bbl5gqn8aMaF0/giphy.gif
https://giphy.com/gifs/vEELVMkD2mIgaXMeZb,수어,1.09,GIF,vEELVMkD2mIgaXMeZb,https://media.giphy.com/media/vEELVMkD2mIgaXMeZb/giphy.gif
https://giphy.com/gifs/vEELVMkD2mIgaXMeZb,수어티콘,0.81,GIF,vEELVMkD2mIgaXMeZb,https://media.giphy.com/media/vEELVMkD2mIgaXMeZb/giphy.gif
https://giphy.com/gifs/fJMOVvtTJcXJTCPPzl,수어,3.73,GIF,fJMOVvtTJcXJTCPPzl,https://media.giphy.com/media/fJMOVvtTJcXJTCPPzl/giphy.gif
https://giphy.com/gifs/fJMOVvtTJcXJTCPPzl,eq4all,3.03,GIF,fJMOVvtTJcXJTCPPzl,https://media.giphy.com/media/fJMOVvtTJcXJTCPPzl/giphy.gif
https://giphy.com/gifs/fJMOVvtTJcXJTCPPzl,수어티콘,1.79,GIF,fJMOVvtTJcXJTCPPzl,https://media.giphy.com/media/fJMOVvtTJcXJTCPPzl/giphy.gif
https://giphy.com/gifs/L6eVnJTX2S90o4uBAT,questionmark,2.26,GIF,L6eVnJTX2S90o4uBAT,https://media.giphy.com/media/L6eVnJTX2S90o4uBAT/giphy.gif
https://giphy.com/gifs/L6eVnJTX2S90o4uBAT,수어,1.42,GIF,L6eVnJTX2S90o4uBAT,https://media.giphy.com/media/L6eVnJTX2S90o4uBAT/giphy.gif
https://giphy.com/gifs/L6eVnJTX2S90o4uBAT,수어티콘,1.08,GIF,L6eVnJTX2S90o4uBAT,https://media.giphy.com/media/L6eVnJTX2S90o4uBAT/giphy.gif
https://giphy.com/gifs/L6eVnJTX2S90o4uBAT,raise,0.00,GIF,L6eVnJTX2S90o4uBAT,https://media.giphy.com/media/L6eVnJTX2S90o4uBAT/giphy.gif
https://giphy.com/gifs/eBDcUdzlhfGSnCCkMS,eq4all,10.98,GIF,eBDcUdzlhfGSnCCkMS,https://media.giphy.com/media/eBDcUdzlhfGSnCCkMS/giphy.gif
https://giphy.com/gifs/eBDcUdzlhfGSnCCkMS,수어,4.23,GIF,eBDcUdzlhfGSnCCkMS,https://media.giphy.com/media/eBDcUdzlhfGSnCCkMS/giphy.gif
https://giphy.com/gifs/eBDcUdzlhfGSnCCkMS,수어티콘,1.99,GIF,eBDcUdzlhfGSnCCkMS,https://media.giphy.com/media/eBDcUdzlhfGSnCCkMS/giphy.gif
https://giphy.com/gifs/eBDcUdzlhfGSnCCkMS,asl,1.39,GIF,eBDcUdzlhfGSnCCkMS,https://media.giphy.com/media/eBDcUdzlhfGSnCCkMS/giphy.gif
https://giphy.com/gifs/eBDcUdzlhfGSnCCkMS,deaf,0.00,GIF,eBDcUdzlhfGSnCCkMS,https://media.giphy.com/media/eBDcUdzlhfGSnCCkMS/giphy.gif
https://giphy.com/gifs/eBDcUdzlhfGSnCCkMS,반가워,0.00,GIF,eBDcUdzlhfGSnCCkMS,https://media.giphy.com/media/eBDcUdzlhfGSnCCkMS/giphy.gif
https://giphy.com/gifs/s5rAgU7fpRoJnt9Wr8,eq4all,4.65,GIF,s5rAgU7fpRoJnt9Wr8,https://media.giphy.com/media/s5rAgU7fpRoJnt9Wr8/giphy.gif
https://giphy.com/gifs/s5rAgU7fpRoJnt9Wr8,수어,0.86,GIF,s5rAgU7fpRoJnt9Wr8,https://media.giphy.com/media/s5rAgU7fpRoJnt9Wr8/giphy.gif
https://giphy.com/gifs/s5rAgU7fpRoJnt9Wr8,my treat,0.72,GIF,s5rAgU7fpRoJnt9Wr8,https://media.giphy.com/media/s5rAgU7fpRoJnt9Wr8/giphy.gif
